1;17712.5737;47
1;17791.74027;31
2;17374.59035;16
2;17335.44867;0
3;16802.8807;15
3;16526.72142;16
4;17334.22252;0
4;18066.62299;16
5;16368.05865;15
5;17918.90391;0
6;17680.46073;16
6;16782.0525;0
7;16914.04487;15
7;17907.08862;0
8;17700.47633;16
8;17919.01823;0
9;17183.04351;16
9;17705.12699;0
10;17887.5445;15
10;16793.30342;16
11;17246.15987;16
11;17751.96378;15
12;17320.261;16
12;17504.47602;15
13;17562.39137;16
13;15849.36115;16
14;15953.52371;15
14;17427.37097;16
15;17862.20623;16
15;15719.43463;15
16;16812.91513;16
16;17568.62052;0
17;17007.72582;15
17;17152.00166;16
18;17819.23818;0
18;18058.96898;16
19;18076.44745;0
19;17477.35384;15
20;18072.28024;0
20;18096.30173;16
21;17053.63804;16
21;17113.18545;0
22;17596.57094;15
22;17419.61473;0
23;17560.8683;16
23;15795.58193;0
24;17582.44092;0
24;17339.77113;0
25;17685.34664;16
25;17340.5056;0
26;18065.99071;16
26;17069.87663;0
27;18201.38576;15
27;17932.75727;16
28;16735.70113;31
28;17191.8741;0
29;16831.48692;15
29;17240.45106;16
30;17658.38009;0
30;17424.17608;16
