1;18189.0205;438
1;17298.8087;281
2;17719.62637;469
2;17956.83242;276
3;16983.41467;328
3;17188.42749;273
4;17364.9701;295
4;18198.51213;218
5;17637.85482;266
5;17733.40666;223
6;17509.25082;234
6;17434.55871;234
7;17619.05359;250
7;17653.79714;250
8;16968.68668;243
8;17515.35452;250
9;17616.22138;266
9;17822.58332;234
10;18136.67472;219
10;17911.71913;250
11;17353.43124;234
11;17329.90595;266
12;17331.15545;234
12;17937.07112;235
13;18161.87838;234
13;17239.64974;234
14;17406.85806;219
14;18013.51303;234
15;17949.00296;235
15;18111.41904;218
16;15851.69111;250
16;18469.06567;235
17;17567.16666;297
17;17553.72389;234
18;18483.6953;250
18;15161.55637;250
19;17272.73551;234
19;17440.8609;219
20;18029.81882;219
20;16662.31901;344
21;17686.46007;359
21;18034.71157;234
22;15681.37598;235
22;18391.37024;234
23;17375.58994;219
23;16893.61057;265
24;16976.24428;219
24;15987.69279;219
25;17960.39775;234
25;17616.04707;235
26;17101.66515;250
26;18066.42088;218
27;17633.86603;250
27;16673.48842;219
28;16668.06511;266
28;18860.43476;219
29;17779.89458;234
29;17487.5818;281
30;16150.1639;250
30;17047.85635;219
